Teamoji,ChIJp2VVbT_XDIgR5Wxw1qbuiqc,OPERATIONAL,cafe food,"617 E Green St, Champaign",2,4.4,180
Kung Fu Tea,ChIJAczTOz_XDIgRqWfwfdK_K2U,OPERATIONAL,cafe restaurant food,"707 S 6th St Suite 107, Champaign",1,4.5,210
Bearology,ChIJxXYj3PvXDIgRYwrUpo6gS-8,OPERATIONAL,cafe food,"608 E University Ave, Champaign",2,4.7,57
Latea Bubble Tea Lounge,ChIJO3qroUDXDIgRhLAREhhEyq8,OPERATIONAL,cafe food,"601 S 6th St #105, Champaign",2,4.1,207
Cocomero,ChIJFbOvCj_XDIgRvgXR-i7aYCE,OPERATIONAL,cafe food store,"709 S Wright St, Champaign",1,4.5,386
PvP Bakery,ChIJJS_FrMLXDIgR0NvWi9jDjOM,OPERATIONAL,cafe food store,"611 E Green St suite a, Champaign",2,4.5,31
Starbucks,ChIJJ93NORfaDIgR8xk4Bkesfdg,OPERATIONAL,cafe food store,"2702 N Prospect Ave, Champaign",2,4.3,565
Caffe Bene,ChIJOe7xTz_XDIgR1BXPnVSaZ_M,OPERATIONAL,cafe food store,"524 E Green St, Champaign",2,4.5,217
BrewLab Coffee,ChIJYdQjsDjXDIgRAcnsygN7VKI,OPERATIONAL,cafe food store,"630 S 5th St, Champaign",1,4.7,212
Starbucks,ChIJR19a0D_XDIgRPEzPS5uQywA,OPERATIONAL,cafe food,"1401 W Green St, Urbana",2,3.7,14
Caffe Bene,ChIJmShlBxTXDIgRrSUw8yFgLFc,OPERATIONAL,cafe food store,"700 S Gregory St, Urbana",2,4.4,233
Dunkin',ChIJG55faz_XDIgR1_yaJBM_HQI,OPERATIONAL,bakery meal_takeaway cafe restaurant food store,"607 E Green St, Champaign",1,4.2,138
Taipei Cafe,ChIJh-MjTT_XDIgRv55xweSYT1U,OPERATIONAL,point_of_interest,"512 E Green St, Champaign",2,4.3,45
Mitsu & Tsaocaa,ChIJNb7ho6HXDIgRNdT8dmaRm1Q,OPERATIONAL,restaurant food,"608 S 6th St, Champaign",2,4,47
Spoon House,ChIJxwkLcT_XDIgRZtmcVWJWhgo,OPERATIONAL,restaurant food,"616 E Green St, Champaign",2,4.3,144
University of Illinois at Urbana-Champaign,ChIJ6VUmqSTXDIgR-iZoBCUFPKU,OPERATIONAL,university,Champaign,2,4.5,519
Milk Tea House,ChIJY_SduzjXDIgRKeKa9VwJYPA,CLOSED_PERMANENTLY,cafe food,"410 E Green St #2, Champaign",2,4.8,4
