Espresso Royale Coffee,OPERATIONAL,cafe food point_of_interest store establishment ,"GRAINGER ENGINEERING LIBRARY, 1301 W Springfield Ave, Urbana",1,3,20,,static/img/cafe/Espresso Royale Coffee
Dotty's,OPERATIONAL,cafe casino food point_of_interest establishment ,"12 E Green St, Champaign",1,5,1,,static/img/cafe/Dotty's
Cafe Kopi,OPERATIONAL,cafe food point_of_interest establishment ,"109 N Walnut St, Champaign",1,4.6,431,"Down-to-earth coffeehouse offering java &amp; tea drinks, plus pastries, sandwiches &amp; free Wi-Fi.",static/img/cafe/Cafe Kopi
Bossa Nova Cafe,OPERATIONAL,cafe food point_of_interest establishment ,"1 E Main St #108, Champaign",0,4.9,38,,static/img/cafe/Bossa Nova Cafe
Aroma Cafe,OPERATIONAL,cafe restaurant food point_of_interest store establishment ,"6 Taylor St, Champaign",1,4.6,297,"Coffeehouse serving pastries, salads, sandwiches &amp; wraps plus organic lemonade &amp; smoothies.",static/img/cafe/Aroma Cafe
Beckman Cafe,OPERATIONAL,cafe food point_of_interest store establishment ,"405 N Mathews Ave, Urbana",0,4.2,39,,static/img/cafe/Beckman Cafe
Flying Machine Avionics,OPERATIONAL,cafe food point_of_interest store establishment ,"202 S 1st St, Champaign",0,4.8,176,,static/img/cafe/Flying Machine Avionics
Caffe Bene,OPERATIONAL,cafe food point_of_interest store establishment ,"524 E Green St, Champaign",2,4.5,217,,static/img/cafe/Caffe Bene
Espresso Royale,OPERATIONAL,cafe food point_of_interest store establishment ,"1117 W Oregon St, Urbana",1,4.5,299,,static/img/cafe/Espresso Royale
Espresso Royale,OPERATIONAL,cafe food point_of_interest store establishment ,"1402 W Gregory Dr, Urbana",1,2.7,11,,static/img/cafe/Espresso Royale
BrewLab Coffee,OPERATIONAL,cafe food point_of_interest store establishment ,"630 S 5th St, Champaign",1,4.7,212,,static/img/cafe/BrewLab Coffee
Daily Byte,CLOSED_TEMPORARILY,cafe food point_of_interest establishment ,"306 S Wright St, Urbana",0,4.5,28,,static/img/cafe/Daily Byte
Dotty's,OPERATIONAL,cafe food point_of_interest establishment ,"1901 S Philo Rd, Urbana",1,3.9,36,,static/img/cafe/Dotty's
Dotty's,OPERATIONAL,cafe food point_of_interest establishment ,"914 W Town Center Blvd, Champaign",1,4.3,28,,static/img/cafe/Dotty's
Library Cafe,OPERATIONAL,cafe restaurant food point_of_interest store establishment ,"200 W Green St, Champaign",0,4.4,13,,static/img/cafe/Library Cafe
Caffe Bene,OPERATIONAL,cafe food point_of_interest store establishment ,"700 S Gregory St, Urbana",2,4.4,233,,static/img/cafe/Caffe Bene
Caffe Paradiso,OPERATIONAL,cafe food point_of_interest store establishment ,"801 S Lincoln Ave, Urbana",2,4.5,257,"Colorful, spacious Italian cafe offering premium coffee, panini &amp; locally made pastries.",static/img/cafe/Caffe Paradiso
Array Cafe,OPERATIONAL,cafe food point_of_interest establishment ,"1206 W Gregory Dr, Urbana",0,3.9,21,,static/img/cafe/Array Cafe
The Courier Cafe,OPERATIONAL,cafe restaurant food point_of_interest establishment ,"111 N Race St, Urbana",2,4.5,1250,"Old-school American spot with an antique vibe, salad bar &amp; menu of burgers, sandwiches &amp; milkshakes.",static/img/cafe/The Courier Cafe
Emma's Eatery,OPERATIONAL,cafe food point_of_interest establishment ,"105 S Mattis Ave, Champaign",0,4.4,5,,static/img/cafe/Emma's Eatery
Pekara Bakery & Bistro,CLOSED_TEMPORARILY,bakery cafe food point_of_interest store establishment ,"116 N Neil St, Champaign",2,4.2,121,,static/img/cafe/Pekara Bakery & Bistro
Dotty's,OPERATIONAL,cafe food point_of_interest establishment ,"501 S Mattis Ave, Champaign",1,3.9,33,,static/img/cafe/Dotty's
Cafeteria & Company,OPERATIONAL,cafe food point_of_interest store establishment ,"208 W Main St, Urbana",0,4.5,72,,static/img/cafe/Cafeteria & Company
Columbia Street Roastery,OPERATIONAL,cafe food point_of_interest store establishment ,"24 E Columbia Ave, Champaign",0,4.9,178,,static/img/cafe/Columbia Street Roastery
Etc. Coffeehouse,OPERATIONAL,cafe food point_of_interest establishment ,"S Goodwin Ave, Urbana",1,4.9,34,,static/img/cafe/Etc. Coffeehouse
Page Roasting Company,OPERATIONAL,cafe food point_of_interest store establishment ,"202 S 1st St, Champaign",0,4.8,22,,static/img/cafe/Page Roasting Company
Bevier Cafe,OPERATIONAL,restaurant cafe food point_of_interest establishment ,"Institute for Genomic Biology, 905 S Goodwin Ave #298, Urbana",0,4.3,27,,static/img/cafe/Bevier Cafe
Strawberry Fields Cafe,OPERATIONAL,cafe restaurant food health point_of_interest store establishment ,"306 W Springfield Ave, Urbana",0,4.4,155,"This casual Mediterranean cafe offers a selection of sandwiches, entrees, sweets &amp; dips.",static/img/cafe/Strawberry Fields Cafe
Espresso Royale,OPERATIONAL,cafe food point_of_interest store establishment ,"1411 S Neil St, Champaign",1,4.4,199,,static/img/cafe/Espresso Royale
Espresso Royale Coffee,OPERATIONAL,cafe food point_of_interest store establishment ,"515 E E Gregory Dr, Champaign",1,4.1,9,,static/img/cafe/Espresso Royale Coffee
Starbucks,OPERATIONAL,cafe food point_of_interest establishment ,"1401 W Green St, Urbana",2,3.9,16,,static/img/cafe/Starbucks
Reading Is So Delicious,OPERATIONAL,cafe food point_of_interest establishment ,Champaign,0,3,1,,static/img/cafe/Reading Is So Delicious
Panera Bread,CLOSED_TEMPORARILY,bakery meal_takeaway cafe restaurant food point_of_interest store establishment ,"616 E Green St, Champaign",2,4.1,234,,static/img/cafe/Panera Bread
Kung Fu Tea,OPERATIONAL,cafe restaurant food point_of_interest establishment ,"707 S 6th St Suite 107, Champaign",1,4.5,210,"Bubble tea specialist with a selection of other hot &amp; cold drinks, including coffee &amp; slushes.",static/img/cafe/Kung Fu Tea
Einstein Bros. Bagels,CLOSED_TEMPORARILY,bakery cafe restaurant food point_of_interest store establishment ,"1401 W Green St, Urbana",1,3.4,12,,static/img/cafe/Einstein Bros. Bagels
Jitters Cafe,CLOSED_TEMPORARILY,cafe food point_of_interest establishment ,"Law Building, 504 E Pennsylvania Ave, Champaign",0,0,0,,static/img/cafe/Jitters Cafe
Dollar Java,OPERATIONAL,cafe food point_of_interest store establishment ,"51 E Green St, Champaign",0,0,0,,static/img/cafe/Dollar Java
Panera Bread,OPERATIONAL,bakery meal_takeaway cafe restaurant food point_of_interest store establishment ,"1903 Convenience Pl, Champaign",2,4,736,,static/img/cafe/Panera Bread
Arcadia Lumen Cafe,OPERATIONAL,cafe food point_of_interest establishment ,"142 Lincoln Square, Urbana",0,5,2,,static/img/cafe/Arcadia Lumen Cafe
Einstein Bros. Bagels,OPERATIONAL,bakery cafe restaurant food point_of_interest store establishment ,"901 W University Ave, Urbana",1,4.4,269,,static/img/cafe/Einstein Bros. Bagels
Espresso Royale Coffee,OPERATIONAL,cafe food point_of_interest store establishment ,"500 E Peabody Dr, Champaign",1,4,8,,static/img/cafe/Espresso Royale Coffee
Einstein Brothers Bagels,OPERATIONAL,cafe food point_of_interest establishment ,"Stoughton St, Urbana",1,3.6,11,,static/img/cafe/Einstein Brothers Bagels
Starbucks,OPERATIONAL,cafe food point_of_interest store establishment ,"809 S Wright St, Champaign",2,3.4,14,,static/img/cafe/Starbucks
Clever Moose ¡ª Champaign,OPERATIONAL,cafe food point_of_interest establishment ,"1807 S Neil St, Champaign",0,3.8,11,,static/img/cafe/Clever Moose ¡ª Champaign
Latea Bubble Tea Lounge,OPERATIONAL,cafe food point_of_interest establishment ,"601 S 6th St #105, Champaign",2,4.1,207,,static/img/cafe/Latea Bubble Tea Lounge
Fiesta Cafe,OPERATIONAL,bar restaurant food point_of_interest establishment ,"216 S 1st St, Champaign",1,4.4,547,Family-friendly mainstay for Mexican fare offering outdoor seating &amp; a huge list of margaritas.,static/img/cafe/Fiesta Cafe
Sam's Cafe,OPERATIONAL,restaurant food point_of_interest establishment ,"115 N Walnut St, Champaign",1,4.5,338,Unpretentious diner with functional decor &amp; a menu of classics like pancakes &amp; burgers.,static/img/cafe/Sam's Cafe
Einstein Bros. Bagels,OPERATIONAL,bakery cafe restaurant food point_of_interest store establishment ,"803 W Anthony Dr, Champaign",1,4.4,157,,static/img/cafe/Einstein Bros. Bagels
Panera Bread,OPERATIONAL,bakery meal_takeaway cafe restaurant food point_of_interest store establishment ,"1765 W Kirby Ave, Champaign",2,4.2,295,,static/img/cafe/Panera Bread
Mia Za's,OPERATIONAL,cafe restaurant food point_of_interest establishment ,"629 E Green St #5701, Champaign",1,4.4,489,"Modern counter-serve offering pizza &amp; simple Italian eats such as panini, pasta &amp; salads.",static/img/cafe/Mia Za's
Green Street Cafe,OPERATIONAL,bar point_of_interest establishment ,"35 E Green St, Champaign",1,4.3,72,,static/img/cafe/Green Street Cafe
Perkins Restaurant & Bakery,OPERATIONAL,restaurant bakery food point_of_interest store establishment ,"1214 W University Ave, Urbana",2,4.2,853,"Kid-friendly chain known for baked goods, breakfasts &amp; other American standards in dinerlike digs.",static/img/cafe/Perkins Restaurant & Bakery
Gloria Jean¡¯s Coffees,OPERATIONAL,cafe food point_of_interest establishment ,"2000 N Neil St, Champaign",0,4,5,,static/img/cafe/Gloria Jean¡¯s Coffees
Cafe Sababa,OPERATIONAL,restaurant food point_of_interest establishment ,"503 E John St, Champaign",0,4.9,7,,static/img/cafe/Cafe Sababa
Starbucks,CLOSED_TEMPORARILY,cafe food point_of_interest store establishment ,"701 S Gregory St, Urbana",2,4.1,43,,static/img/cafe/Starbucks
Evo Cafe,OPERATIONAL,restaurant food point_of_interest establishment ,"711 S 6th St, Champaign",1,4.1,142,"Easygoing Chinese eatery providing hot pots &amp; Sichuan specialties, plus milk tea &amp; slushes.",static/img/cafe/Evo Cafe
Circle K,OPERATIONAL,gas_station atm car_wash convenience_store meal_takeaway finance cafe car_repair restaurant food point_of_interest store establishment ,"809 W Green St, Urbana",1,2,4,,static/img/cafe/Circle K
Sam's Club Cafe,OPERATIONAL,cafe meal_takeaway restaurant food point_of_interest establishment ,"915 W Marketview Dr, Champaign",0,0,0,,static/img/cafe/Sam's Club Cafe
Starbs,OPERATIONAL,cafe food point_of_interest store establishment ,"102 E University Ave, Urbana",0,0,0,,static/img/cafe/Starbs
Pandamonium Doughnuts,OPERATIONAL,bakery cafe food point_of_interest store establishment ,"1105 Windsor Rd, Champaign",0,4.5,184,,static/img/cafe/Pandamonium Doughnuts
